TweetId,Start,End
973230239005409282,20180312,20180321
973228928398700544,20180312,20180321
973226060924977152,20180312,20180321
973224994271526912,20180312,20180321
972985706221068288,20180311,20180321
972966791130558464,20180311,20180321
972966176778260480,20180311,20180321
972964187541594113,20180311,20180321
972962928872878080,20180311,20180321
972960197684711425,20180311,20180321
972954592743915520,20180311,20180321
972954046909775872,20180311,20180321
972953642620850176,20180311,20180321
972949934130556930,20180311,20180321
972948864767610880,20180311,20180321
972801670139863041,20180311,20180321
972544453595541504,20180310,20180321
972294009241718784,20180309,20180317
972293318364327936,20180309,20180317
972285328840118273,20180309,20180317
972253271120326656,20180309,20180317
972222369908625408,20180309,20180317
972150994153955329,20180309,20180317
972148752260706305,20180309,20180317
972139654341431296,20180309,20180317
972130483818631169,20180309,20180317
972128435274436608,20180309,20180317
972123565851074560,20180309,20180317
971932553509724160,20180308,20180317
971932188294942720,20180308,20180317
971931015567601664,20180308,20180317
971929302328594432,20180308,20180317
971928441732894721,20180308,20180317
971920010628206594,20180308,20180317
971919962485948421,20180308,20180317
971915252152635392,20180308,20180317
971914633266319361,20180308,20180317
971914481617002497,20180308,20180317
971913757462073344,20180308,20180317
971903642881142786,20180308,20180317
971903177737035776,20180308,20180317
971901001543372802,20180308,20180317
971898849580146688,20180308,20180317
971897014228279296,20180308,20180317
971896557799952384,20180308,20180317
971896008744587264,20180308,20180317
971895907166904321,20180308,20180317
971895508301172738,20180308,20180317
971895213970083840,20180308,20180317
971894910222729216,20180308,20180317
971894572715520001,20180308,20180317
971894325436211201,20180308,20180317
971892744246517760,20180308,20180317
971892380260499456,20180308,20180317
971891894379835394,20180308,20180317
971891558541856769,20180308,20180317
971890459093151744,20180308,20180317
971890100941541376,20180308,20180317
971890013049942017,20180308,20180317
971886806974320641,20180308,20180317
971885935192309761,20180308,20180317
971885499202797570,20180308,20180317
971884303205453824,20180308,20180317
971884101920804864,20180308,20180317
971883344790212608,20180308,20180317
971881395114082305,20180308,20180317
971880905303306240,20180308,20180317
971764498012033024,20180308,20180317
971758566179770368,20180308,20180317
971750439875235842,20180308,20180317
971750380622270465,20180308,20180317
971723681503367169,20180308,20180317
971722361425879041,20180308,20180317
971722325166055425,20180308,20180317
971722163840536576,20180308,20180317
971522038929162240,20180307,20180317
971514914165665793,20180307,20180317
971513301216743426,20180307,20180317
971508466476113921,20180307,20180317
971502291445538817,20180307,20180317
971445343287201793,20180307,20180317
971443353081573378,20180307,20180317
971443055248265216,20180307,20180317
971422544560644097,20180307,20180317
971421308914421760,20180307,20180317
971420908702355456,20180307,20180317
971419740806828033,20180307,20180317
971390411141939208,20180307,20180317
971371872318345217,20180307,20180317
971370859251290113,20180307,20180317
971370591579181056,20180307,20180317
971365929081810945,20180307,20180317
971358430698057728,20180307,20180317
971181445464166400,20180306,20180317
971180693941374976,20180306,20180317
971180552224149505,20180306,20180317
971166242034864135,20180306,20180317
971164748439015424,20180306,20180317
971158131748327424,20180306,20180317
971139541401731074,20180306,20180317
971138028856061952,20180306,20180317
971134405673701376,20180306,20180317
971133138800992256,20180306,20180317
971129238110732294,20180306,20180317
971112448274173952,20180306,20180317
971112348810465281,20180306,20180317
971092402042744832,20180306,20180317
971050627244707841,20180306,20180317
971046202392399872,20180306,20180317
971044306910961665,20180306,20180317
971025070956130304,20180306,20180317
971022470110236673,20180306,20180317
